reset,category,field1
int,int,string
R,C,
0,5,17
0,5,0
0,5,1
0,5,18
0,5,19
0,8,26
0,8,0
0,8,1
0,8,27
0,8,28
0,0,2
0,0,0
0,0,1
0,0,3
0,0,4
0,9,29
0,9,0
0,9,1
0,9,30
0,9,31
0,1,5
0,1,0
0,1,1
0,1,6
0,1,7
0,7,23
0,7,0
0,7,1
0,7,24
0,7,25
0,4,14
0,4,0
0,4,1
0,4,15
0,4,16
0,8,26
0,8,0
0,8,1
0,8,27
0,8,28
0,7,23
0,7,0
0,7,1
0,7,24
0,7,25
0,9,29
0,9,0
0,9,1
0,9,30
0,9,31
0,8,26
0,8,0
0,8,1
0,8,27
0,8,28
0,7,23
0,7,0
0,7,1
0,7,24
0,7,25
0,1,5
0,1,0
0,1,1
0,1,6
0,1,7
0,7,23
0,7,0
0,7,1
0,7,24
0,7,25
0,4,14
0,4,0
0,4,1
0,4,15
0,4,16
0,8,26
0,8,0
0,8,1
0,8,27
0,8,28
0,3,11
0,3,0
0,3,1
0,3,12
0,3,13
0,6,20
0,6,0
0,6,1
0,6,21
0,6,22
0,3,11
0,3,0
0,3,1
0,3,12
0,3,13
0,5,17
0,5,0
0,5,1
0,5,18
0,5,19
0,6,20
0,6,0
0,6,1
0,6,21
0,6,22
0,3,11
0,3,0
0,3,1
0,3,12
0,3,13
0,2,8
0,2,0
0,2,1
0,2,9
0,2,10
0,0,2
0,0,0
0,0,1
0,0,3
0,0,4
0,4,14
0,4,0
0,4,1
0,4,15
0,4,16
0,4,14
0,4,0
0,4,1
0,4,15
0,4,16
0,2,8
0,2,0
0,2,1
0,2,9
0,2,10
0,9,29
0,9,0
0,9,1
0,9,30
0,9,31
0,2,8
0,2,0
0,2,1
0,2,9
0,2,10
0,2,8
0,2,0
0,2,1
0,2,9
0,2,10
0,1,5
0,1,0
0,1,1
0,1,6
0,1,7
0,9,29
0,9,0
0,9,1
0,9,30
0,9,31
0,0,2
0,0,0
0,0,1
0,0,3
0,0,4
0,9,29
0,9,0
0,9,1
0,9,30
0,9,31
0,3,11
0,3,0
0,3,1
0,3,12
0,3,13
0,4,14
0,4,0
0,4,1
0,4,15
0,4,16
0,7,23
0,7,0
0,7,1
0,7,24
0,7,25
0,2,8
0,2,0
0,2,1
0,2,9
0,2,10
0,1,5
0,1,0
0,1,1
0,1,6
0,1,7
0,0,2
0,0,0
0,0,1
0,0,3
0,0,4
0,4,14
0,4,0
0,4,1
0,4,15
0,4,16
0,8,26
0,8,0
0,8,1
0,8,27
0,8,28
0,9,29
0,9,0
0,9,1
0,9,30
0,9,31
0,2,8
0,2,0
0,2,1
0,2,9
0,2,10
0,3,11
0,3,0
0,3,1
0,3,12
0,3,13
0,2,8
0,2,0
0,2,1
0,2,9
0,2,10
0,5,17
0,5,0
0,5,1
0,5,18
0,5,19
0,1,5
0,1,0
0,1,1
0,1,6
0,1,7
0,1,5
0,1,0
0,1,1
0,1,6
0,1,7
0,9,29
0,9,0
0,9,1
0,9,30
0,9,31
0,8,26
0,8,0
0,8,1
0,8,27
0,8,28
0,2,8
0,2,0
0,2,1
0,2,9
0,2,10
0,6,20
0,6,0
0,6,1
0,6,21
0,6,22
0,5,17
0,5,0
0,5,1
0,5,18
0,5,19
0,1,5
0,1,0
0,1,1
0,1,6
0,1,7
0,9,29
0,9,0
0,9,1
0,9,30
0,9,31
0,3,11
0,3,0
0,3,1
0,3,12
0,3,13
0,0,2
0,0,0
0,0,1
0,0,3
0,0,4
0,2,8
0,2,0
0,2,1
0,2,9
0,2,10
0,2,8
0,2,0
0,2,1
0,2,9
0,2,10
0,9,29
0,9,0
0,9,1
0,9,30
0,9,31
0,5,17
0,5,0
0,5,1
0,5,18
0,5,19
0,6,20
0,6,0
0,6,1
0,6,21
0,6,22
0,6,20
0,6,0
0,6,1
0,6,21
0,6,22
0,0,2
0,0,0
0,0,1
0,0,3
0,0,4
0,8,26
0,8,0
0,8,1
0,8,27
0,8,28
0,7,23
0,7,0
0,7,1
0,7,24
0,7,25
0,7,23
0,7,0
0,7,1
0,7,24
0,7,25
0,6,20
0,6,0
0,6,1
0,6,21
0,6,22
0,6,20
0,6,0
0,6,1
0,6,21
0,6,22
0,8,26
0,8,0
0,8,1
0,8,27
0,8,28
0,5,17
0,5,0
0,5,1
0,5,18
0,5,19
0,0,2
0,0,0
0,0,1
0,0,3
0,0,4
0,2,8
0,2,0
0,2,1
0,2,9
0,2,10
0,3,11
0,3,0
0,3,1
0,3,12
0,3,13
0,3,11
0,3,0
0,3,1
0,3,12
0,3,13
0,5,17
0,5,0
0,5,1
0,5,18
0,5,19
0,4,14
0,4,0
0,4,1
0,4,15
0,4,16
0,1,5
0,1,0
0,1,1
0,1,6
0,1,7
0,2,8
0,2,0
0,2,1
0,2,9
0,2,10
0,5,17
0,5,0
0,5,1
0,5,18
0,5,19
0,6,20
0,6,0
0,6,1
0,6,21
0,6,22
0,1,5
0,1,0
0,1,1
0,1,6
0,1,7
0,6,20
0,6,0
0,6,1
0,6,21
0,6,22
0,2,8
0,2,0
0,2,1
0,2,9
0,2,10
0,0,2
0,0,0
0,0,1
0,0,3
0,0,4
0,9,29
0,9,0
0,9,1
0,9,30
0,9,31
0,1,5
0,1,0
0,1,1
0,1,6
0,1,7
0,3,11
0,3,0
0,3,1
0,3,12
0,3,13
0,1,5
0,1,0
0,1,1
0,1,6
0,1,7
0,7,23
0,7,0
0,7,1
0,7,24
0,7,25
0,2,8
0,2,0
0,2,1
0,2,9
0,2,10
0,3,11
0,3,0
0,3,1
0,3,12
0,3,13
0,4,14
0,4,0
0,4,1
0,4,15
0,4,16
0,4,14
0,4,0
0,4,1
0,4,15
0,4,16
0,9,29
0,9,0
0,9,1
0,9,30
0,9,31
0,5,17
0,5,0
0,5,1
0,5,18
0,5,19
0,0,2
0,0,0
0,0,1
0,0,3
0,0,4
0,2,8
0,2,0
0,2,1
0,2,9
0,2,10
0,2,8
0,2,0
0,2,1
0,2,9
0,2,10
0,7,23
0,7,0
0,7,1
0,7,24
0,7,25
0,5,17
0,5,0
0,5,1
0,5,18
0,5,19
0,6,20
0,6,0
0,6,1
0,6,21
0,6,22
0,8,26
0,8,0
0,8,1
0,8,27
0,8,28
0,0,2
0,0,0
0,0,1
0,0,3
0,0,4
0,3,11
0,3,0
0,3,1
0,3,12
0,3,13
0,8,26
0,8,0
0,8,1
0,8,27
0,8,28
0,4,14
0,4,0
0,4,1
0,4,15
0,4,16
0,6,20
0,6,0
0,6,1
0,6,21
0,6,22
0,1,5
0,1,0
0,1,1
0,1,6
0,1,7
0,1,5
0,1,0
0,1,1
0,1,6
0,1,7
0,5,17
0,5,0
0,5,1
0,5,18
0,5,19
0,8,26
0,8,0
0,8,1
0,8,27
0,8,28
0,7,23
0,7,0
0,7,1
0,7,24
0,7,25
0,6,20
0,6,0
0,6,1
0,6,21
0,6,22
0,7,23
0,7,0
0,7,1
0,7,24
0,7,25
0,9,29
0,9,0
0,9,1
0,9,30
0,9,31
0,4,14
0,4,0
0,4,1
0,4,15
0,4,16
0,7,23
0,7,0
0,7,1
0,7,24
0,7,25
0,8,26
0,8,0
0,8,1
0,8,27
0,8,28
0,0,2
