"   ","SITE_LOCATION_NAME","TIMESTAMP","TOTAL_KWH"
"1","Bondi Platinum","1/09/2010","14.39"
"2","Bondi Platinum","1/09/2010 12:15:00 AM","14.79"
"3","Bondi Platinum","1/09/2010 12:30:00 AM","14.34"
"4","Bondi Platinum","1/09/2010 12:45:00 AM","14.39"
"5","Bondi Platinum","1/09/2010 1:00:00 AM","13.92"
"6","Bondi Platinum","1/09/2010 1:15:00 AM","14.71"
"7","Bondi Platinum","1/09/2010 1:30:00 AM","15.01"
"8","Bondi Platinum","1/09/2010 1:45:00 AM","13.98"
"9","Bondi Platinum","1/09/2010 2:00:00 AM","13.85"
"10","Bondi Platinum","1/09/2010 2:15:00 AM","14.31"
"11","Bondi Platinum","1/09/2010 2:30:00 AM","14.54"
"12","Bondi Platinum","1/09/2010 2:45:00 AM","13.62"
"13","Bondi Platinum","1/09/2010 3:00:00 AM","13.46"
"14","Bondi Platinum","1/09/2010 3:15:00 AM","13.36"
"15","Bondi Platinum","1/09/2010 3:30:00 AM","13.4"
"16","Bondi Platinum","1/09/2010 3:45:00 AM","13.37"
"17","Bondi Platinum","1/09/2010 4:00:00 AM","13.32"
"18","Bondi Platinum","1/09/2010 4:15:00 AM","13.27"
"19","Bondi Platinum","1/09/2010 4:30:00 AM","13.61"
"20","Bondi Platinum","1/09/2010 4:45:00 AM","14.37"
"21","Bondi Platinum","1/09/2010 5:00:00 AM","16.79"
"22","Bondi Platinum","1/09/2010 5:15:00 AM","21.26"
"23","Bondi Platinum","1/09/2010 5:30:00 AM","20.97"
"24","Bondi Platinum","1/09/2010 5:45:00 AM","20.99"
"25","Bondi Platinum","1/09/2010 6:00:00 AM","21.61"
"26","Bondi Platinum","1/09/2010 6:15:00 AM","23.16"
"27","Bondi Platinum","1/09/2010 6:30:00 AM","24.24"
"28","Bondi Platinum","1/09/2010 6:45:00 AM","22.37"
"29","Bondi Platinum","1/09/2010 7:00:00 AM","22.1"
"30","Bondi Platinum","1/09/2010 7:15:00 AM","22.97"
"31","Bondi Platinum","1/09/2010 7:30:00 AM","23.04"
"32","Bondi Platinum","1/09/2010 7:45:00 AM","24.1"
"33","Bondi Platinum","1/09/2010 8:00:00 AM","23.97"
"34","Bondi Platinum","1/09/2010 8:15:00 AM","21.64"
"35","Bondi Platinum","1/09/2010 8:30:00 AM","23.09"
"36","Bondi Platinum","1/09/2010 8:45:00 AM","21.76"
"37","Bondi Platinum","1/09/2010 9:00:00 AM","21.74"
"38","Bondi Platinum","1/09/2010 9:15:00 AM","21.06"
"39","Bondi Platinum","1/09/2010 9:30:00 AM","21.92"
"40","Bondi Platinum","1/09/2010 9:45:00 AM","22.63"
"41","Bondi Platinum","1/09/2010 10:00:00 AM","21.73"
"42","Bondi Platinum","1/09/2010 10:15:00 AM","23.11"
"43","Bondi Platinum","1/09/2010 10:30:00 AM","22.46"
"44","Bondi Platinum","1/09/2010 10:45:00 AM","21.58"
"45","Bondi Platinum","1/09/2010 11:00:00 AM","21.44"
"46","Bondi Platinum","1/09/2010 11:15:00 AM","21.17"
"47","Bondi Platinum","1/09/2010 11:30:00 AM","21.52"
"48","Bondi Platinum","1/09/2010 11:45:00 AM","20.57"
"49","Bondi Platinum","1/09/2010 12:00:00 PM","19.94"
"50","Bondi Platinum","1/09/2010 12:15:00 PM","20.08"
"51","Bondi Platinum","1/09/2010 12:30:00 PM","19.29"
"52","Bondi Platinum","1/09/2010 12:45:00 PM","20.72"
"53","Bondi Platinum","1/09/2010 1:00:00 PM","19.94"
"54","Bondi Platinum","1/09/2010 1:15:00 PM","21.87"
"55","Bondi Platinum","1/09/2010 1:30:00 PM","19.57"
"56","Bondi Platinum","1/09/2010 1:45:00 PM","21.29"
"57","Bondi Platinum","1/09/2010 2:00:00 PM","22.49"
"58","Bondi Platinum","1/09/2010 2:15:00 PM","19.83"
"59","Bondi Platinum","1/09/2010 2:30:00 PM","19.52"
"60","Bondi Platinum","1/09/2010 2:45:00 PM","20.09"
"61","Bondi Platinum","1/09/2010 3:00:00 PM","19.53"
"62","Bondi Platinum","1/09/2010 3:15:00 PM","18.9"
"63","Bondi Platinum","1/09/2010 3:30:00 PM","22.82"
"64","Bondi Platinum","1/09/2010 3:45:00 PM","21.8"
"65","Bondi Platinum","1/09/2010 4:00:00 PM","20.01"
"66","Bondi Platinum","1/09/2010 4:15:00 PM","22.05"
"67","Bondi Platinum","1/09/2010 4:30:00 PM","23.34"
"68","Bondi Platinum","1/09/2010 4:45:00 PM","20.05"
"69","Bondi Platinum","1/09/2010 5:00:00 PM","21.09"
"70","Bondi Platinum","1/09/2010 5:15:00 PM","22.82"
"71","Bondi Platinum","1/09/2010 5:30:00 PM","20.91"
"72","Bondi Platinum","1/09/2010 5:45:00 PM","26.23"
"73","Bondi Platinum","1/09/2010 6:00:00 PM","24.83"
"74","Bondi Platinum","1/09/2010 6:15:00 PM","25.45"
"75","Bondi Platinum","1/09/2010 6:30:00 PM","25.52"
"76","Bondi Platinum","1/09/2010 6:45:00 PM","23.97"
"77","Bondi Platinum","1/09/2010 7:00:00 PM","23.1"
"78","Bondi Platinum","1/09/2010 7:15:00 PM","21.52"
"79","Bondi Platinum","1/09/2010 7:30:00 PM","20.92"
"80","Bondi Platinum","1/09/2010 7:45:00 PM","23.18"
"81","Bondi Platinum","1/09/2010 8:00:00 PM","24.85"
"82","Bondi Platinum","1/09/2010 8:15:00 PM","21.16"
"83","Bondi Platinum","1/09/2010 8:30:00 PM","23.88"
"84","Bondi Platinum","1/09/2010 8:45:00 PM","23.85"
"85","Bondi Platinum","1/09/2010 9:00:00 PM","23"
