field1,field2
string,string
,
a,a
a,b
a,c
a,d
a,e
a,f
a,g
a,h
a,i
a,j
a,k
a,l
a,m
a,n
a,o
a,p
b,a
b,b
b,c
b,d
b,e
b,f
b,g
b,h
b,i
b,j
b,k
b,l
b,m
b,n
b,o
b,p
c,a
c,b
c,c
c,d
c,e
c,f
c,g
c,h
c,i
c,j
c,k
c,l
c,m
c,n
c,o
c,p
d,a
d,b
d,c
d,d
d,e
d,f
d,g
d,h
d,i
d,j
d,k
d,l
d,m
d,n
d,o
d,p
e,a
e,b
e,c
e,d
e,e
e,f
e,g
e,h
e,i
e,j
e,k
e,l
e,m
e,n
e,o
e,p
f,a
f,b
f,c
f,d
f,e
f,f
f,g
f,h
f,i
f,j
f,k
f,l
f,m
f,n
f,o
f,p
g,a
g,b
g,c
g,d
g,e
g,f
g,g
g,h
g,i
g,j
g,k
g,l
g,m
g,n
g,o
g,p
h,a
h,b
h,c
h,d
h,e
h,f
h,g
h,h
h,i
h,j
h,k
h,l
h,m
h,n
h,o
h,p
i,a
i,b
i,c
i,d
i,e
i,f
i,g
i,h
i,i
i,j
i,k
i,l
i,m
i,n
i,o
i,p
j,a
j,b
j,c
j,d
j,e
j,f
j,g
j,h
j,i
j,j
j,k
j,l
j,m
j,n
j,o
j,p
k,a
k,b
k,c
k,d
k,e
k,f
k,g
k,h
k,i
k,j
k,k
k,l
k,m
k,n
k,o
k,p
l,a
l,b
l,c
l,d
l,e
l,f
l,g
l,h
l,i
l,j
l,k
l,l
l,m
l,n
l,o
l,p
m,a
m,b
m,c
m,d
m,e
m,f
m,g
m,h
m,i
m,j
m,k
m,l
m,m
m,n
m,o
m,p
n,a
n,b
n,c
n,d
n,e
n,f
n,g
n,h
n,i
n,j
n,k
n,l
n,m
n,n
n,o
n,p
o,a
o,b
o,c
o,d
o,e
o,f
o,g
o,h
o,i
o,j
o,k
o,l
o,m
o,n
o,o
o,p
p,a
p,b
p,c
p,d
p,e
p,f
p,g
p,h
p,i
p,j
p,k
p,l
p,m
p,n
p,o
p,p
a,a
a,b
a,c
a,d
a,e
a,f
a,g
a,h
a,i
a,j
a,k
a,l
a,m
a,n
a,o
a,p
b,a
b,b
b,c
b,d
b,e
b,f
b,g
b,h
b,i
b,j
b,k
b,l
b,m
b,n
b,o
b,p
c,a
c,b
c,c
c,d
c,e
c,f
c,g
c,h
c,i
c,j
c,k
c,l
c,m
c,n
c,o
c,p
d,a
d,b
d,c
d,d
d,e
d,f
d,g
d,h
d,i
d,j
d,k
d,l
d,m
d,n
d,o
d,p
e,a
e,b
e,c
e,d
e,e
e,f
e,g
e,h
e,i
e,j
e,k
e,l
e,m
e,n
e,o
e,p
f,a
f,b
f,c
f,d
f,e
f,f
f,g
f,h
f,i
f,j
f,k
f,l
f,m
f,n
f,o
f,p
g,a
g,b
g,c
g,d
g,e
g,f
g,g
g,h
g,i
g,j
g,k
g,l
g,m
g,n
g,o
g,p
h,a
h,b
h,c
h,d
h,e
h,f
h,g
h,h
h,i
h,j
h,k
h,l
h,m
h,n
h,o
h,p
i,a
i,b
i,c
i,d
i,e
i,f
i,g
i,h
i,i
i,j
i,k
i,l
i,m
i,n
i,o
i,p
j,a
j,b
j,c
j,d
j,e
j,f
j,g
j,h
j,i
j,j
j,k
j,l
j,m
j,n
j,o
j,p
k,a
k,b
k,c
k,d
k,e
k,f
k,g
k,h
k,i
k,j
k,k
k,l
k,m
k,n
k,o
k,p
l,a
l,b
l,c
l,d
l,e
l,f
l,g
l,h
l,i
l,j
l,k
l,l
l,m
l,n
l,o
l,p
m,a
m,b
m,c
m,d
m,e
m,f
m,g
m,h
m,i
m,j
m,k
m,l
m,m
m,n
m,o
m,p
n,a
n,b
n,c
n,d
n,e
n,f
n,g
n,h
n,i
n,j
n,k
n,l
n,m
n,n
n,o
n,p
o,a
o,b
o,c
o,d
o,e
o,f
o,g
o,h
o,i
o,j
o,k
o,l
o,m
o,n
o,o
o,p
p,a
p,b
p,c
p,d
p,e
p,f
p,g
p,h
p,i
p,j
p,k
p,l
p,m
p,n
p,o
p,p
a,a
a,b
a,c
a,d
a,e
a,f
a,g
a,h
a,i
a,j
a,k
a,l
a,m
a,n
a,o
a,p
b,a
b,b
b,c
b,d
b,e
b,f
b,g
b,h
b,i
b,j
b,k
b,l
b,m
b,n
b,o
b,p
c,a
c,b
c,c
c,d
c,e
c,f
c,g
c,h
c,i
c,j
c,k
c,l
c,m
c,n
c,o
c,p
d,a
d,b
d,c
d,d
d,e
d,f
d,g
d,h
d,i
d,j
d,k
d,l
d,m
d,n
d,o
d,p
e,a
e,b
e,c
e,d
e,e
e,f
e,g
e,h
e,i
e,j
e,k
e,l
e,m
e,n
e,o
e,p
f,a
f,b
f,c
f,d
f,e
f,f
f,g
f,h
f,i
f,j
f,k
f,l
f,m
f,n
f,o
f,p
g,a
g,b
g,c
g,d
g,e
g,f
g,g
g,h
g,i
g,j
g,k
g,l
g,m
g,n
g,o
g,p
h,a
h,b
h,c
h,d
h,e
h,f
h,g
h,h
h,i
h,j
h,k
h,l
h,m
h,n
h,o
h,p
i,a
i,b
i,c
i,d
i,e
i,f
i,g
i,h
i,i
i,j
i,k
i,l
i,m
i,n
i,o
i,p
j,a
j,b
j,c
j,d
j,e
j,f
j,g
j,h
j,i
j,j
j,k
j,l
j,m
j,n
j,o
j,p
k,a
k,b
k,c
k,d
k,e
k,f
k,g
k,h
k,i
k,j
k,k
k,l
k,m
k,n
k,o
k,p
l,a
l,b
l,c
l,d
l,e
l,f
l,g
l,h
l,i
l,j
l,k
l,l
l,m
l,n
l,o
l,p
m,a
m,b
m,c
m,d
m,e
m,f
m,g
m,h
m,i
m,j
m,k
m,l
m,m
m,n
m,o
m,p
n,a
n,b
n,c
n,d
n,e
n,f
n,g
n,h
n,i
n,j
n,k
n,l
n,m
n,n
n,o
n,p
o,a
o,b
o,c
o,d
o,e
o,f
o,g
o,h
o,i
o,j
o,k
o,l
o,m
o,n
o,o
o,p
p,a
p,b
p,c
p,d
p,e
p,f
p,g
p,h
p,i
p,j
p,k
p,l
p,m
p,n
p,o
p,p
a,a
a,b
a,c
a,d
a,e
a,f
a,g
a,h
a,i
a,j
a,k
a,l
a,m
a,n
a,o
a,p
b,a
b,b
b,c
b,d
b,e
b,f
b,g
b,h
b,i
b,j
b,k
b,l
b,m
b,n
b,o
b,p
c,a
c,b
c,c
c,d
c,e
c,f
c,g
c,h
c,i
c,j
c,k
c,l
c,m
c,n
c,o
c,p
d,a
d,b
d,c
d,d
d,e
d,f
d,g
d,h
d,i
d,j
d,k
d,l
d,m
d,n
d,o
d,p
e,a
e,b
e,c
e,d
e,e
e,f
e,g
e,h
e,i
e,j
e,k
e,l
e,m
e,n
e,o
e,p
f,a
f,b
f,c
f,d
f,e
f,f
f,g
f,h
f,i
f,j
f,k
f,l
f,m
f,n
f,o
f,p
g,a
g,b
g,c
g,d
g,e
g,f
g,g
g,h
g,i
g,j
g,k
g,l
g,m
g,n
g,o
g,p
h,a
h,b
h,c
h,d
h,e
h,f
h,g
h,h
h,i
h,j
h,k
h,l
h,m
h,n
h,o
h,p
i,a
i,b
i,c
i,d
i,e
i,f
i,g
i,h
i,i
i,j
i,k
i,l
i,m
i,n
i,o
i,p
j,a
j,b
j,c
j,d
j,e
j,f
j,g
j,h
j,i
j,j
j,k
j,l
j,m
j,n
j,o
j,p
k,a
k,b
k,c
k,d
k,e
k,f
k,g
k,h
k,i
k,j
k,k
k,l
k,m
k,n
k,o
k,p
l,a
l,b
l,c
l,d
l,e
l,f
l,g
l,h
l,i
l,j
l,k
l,l
l,m
l,n
l,o
l,p
m,a
m,b
m,c
m,d
m,e
m,f
m,g
m,h
m,i
m,j
m,k
m,l
m,m
m,n
m,o
m,p
n,a
n,b
n,c
n,d
n,e
n,f
n,g
n,h
n,i
n,j
n,k
n,l
n,m
n,n
n,o
n,p
o,a
o,b
o,c
o,d
o,e
o,f
o,g
o,h
o,i
o,j
o,k
o,l
o,m
o,n
o,o
o,p
p,a
p,b
p,c
p,d
p,e
p,f
p,g
p,h
p,i
p,j
p,k
p,l
p,m
p,n
p,o
p,p
a,a
a,b
a,c
a,d
a,e
a,f
a,g
a,h
a,i
a,j
a,k
a,l
a,m
a,n
a,o
a,p
b,a
b,b
b,c
b,d
b,e
b,f
b,g
b,h
b,i
b,j
b,k
b,l
b,m
b,n
b,o
b,p
c,a
c,b
c,c
c,d
c,e
c,f
c,g
c,h
c,i
c,j
c,k
c,l
c,m
c,n
c,o
c,p
d,a
d,b
d,c
d,d
d,e
d,f
d,g
d,h
d,i
d,j
d,k
d,l
d,m
d,n
d,o
d,p
e,a
e,b
e,c
e,d
e,e
e,f
e,g
e,h
e,i
e,j
e,k
e,l
e,m
e,n
e,o
e,p
f,a
f,b
f,c
f,d
f,e
f,f
f,g
f,h
f,i
f,j
f,k
f,l
f,m
f,n
f,o
f,p
g,a
g,b
g,c
g,d
g,e
g,f
g,g
g,h
g,i
g,j
g,k
g,l
g,m
g,n
g,o
g,p
h,a
h,b
h,c
h,d
h,e
h,f
h,g
h,h
h,i
h,j
h,k
h,l
h,m
h,n
h,o
h,p
i,a
i,b
i,c
i,d
i,e
i,f
i,g
i,h
i,i
i,j
i,k
i,l
i,m
i,n
i,o
i,p
j,a
j,b
j,c
j,d
j,e
j,f
j,g
j,h
j,i
j,j
j,k
j,l
j,m
j,n
j,o
j,p
k,a
k,b
k,c
k,d
k,e
k,f
k,g
k,h
k,i
k,j
k,k
k,l
k,m
k,n
k,o
k,p
l,a
l,b
l,c
l,d
l,e
l,f
l,g
l,h
l,i
l,j
l,k
l,l
l,m
l,n
l,o
l,p
m,a
m,b
m,c
m,d
m,e
m,f
m,g
m,h
m,i
m,j
m,k
m,l
m,m
m,n
m,o
m,p
n,a
n,b
n,c
n,d
n,e
n,f
n,g
n,h
n,i
n,j
n,k
n,l
n,m
n,n
n,o
n,p
o,a
o,b
o,c
o,d
o,e
o,f
o,g
o,h
o,i
o,j
o,k
o,l
o,m
o,n
o,o
o,p
p,a
p,b
p,c
p,d
p,e
p,f
p,g
p,h
p,i
p,j
p,k
p,l
p,m
p,n
p,o
p,p
a,a
a,b
a,c
a,d
a,e
a,f
a,g
a,h
a,i
a,j
a,k
a,l
a,m
a,n
a,o
a,p
b,a
b,b
b,c
b,d
b,e
b,f
b,g
b,h
b,i
b,j
b,k
b,l
b,m
b,n
b,o
b,p
c,a
c,b
c,c
c,d
c,e
c,f
c,g
c,h
c,i
c,j
c,k
c,l
c,m
c,n
c,o
c,p
d,a
d,b
d,c
d,d
d,e
d,f
d,g
d,h
d,i
d,j
d,k
d,l
d,m
d,n
d,o
d,p
e,a
e,b
e,c
e,d
e,e
e,f
e,g
e,h
e,i
e,j
e,k
e,l
e,m
e,n
e,o
e,p
f,a
f,b
f,c
f,d
f,e
f,f
f,g
f,h
f,i
f,j
f,k
f,l
f,m
f,n
f,o
f,p
g,a
g,b
g,c
g,d
g,e
g,f
g,g
g,h
g,i
g,j
g,k
g,l
g,m
g,n
g,o
g,p
h,a
h,b
h,c
h,d
h,e
h,f
h,g
h,h
h,i
h,j
h,k
h,l
h,m
h,n
h,o
h,p
i,a
i,b
i,c
i,d
i,e
i,f
i,g
i,h
i,i
i,j
i,k
i,l
i,m
i,n
i,o
i,p
j,a
j,b
j,c
j,d
j,e
j,f
j,g
j,h
j,i
j,j
j,k
j,l
j,m
j,n
j,o
j,p
k,a
k,b
k,c
k,d
k,e
k,f
k,g
k,h
k,i
k,j
k,k
k,l
k,m
k,n
k,o
k,p
l,a
l,b
l,c
l,d
l,e
l,f
l,g
l,h
l,i
l,j
l,k
l,l
l,m
l,n
l,o
l,p
m,a
m,b
m,c
m,d
m,e
m,f
m,g
m,h
m,i
m,j
m,k
m,l
m,m
m,n
m,o
m,p
n,a
n,b
n,c
n,d
n,e
n,f
n,g
n,h
n,i
n,j
n,k
n,l
n,m
n,n
n,o
n,p
o,a
o,b
o,c
o,d
o,e
o,f
o,g
o,h
o,i
o,j
o,k
o,l
o,m
o,n
o,o
o,p
p,a
p,b
p,c
p,d
p,e
p,f
p,g
p,h
p,i
p,j
p,k
p,l
p,m
p,n
p,o
p,p
a,a
a,b
a,c
a,d
a,e
a,f
a,g
a,h
a,i
a,j
a,k
a,l
a,m
a,n
a,o
a,p
b,a
b,b
b,c
b,d
b,e
b,f
b,g
b,h
b,i
b,j
b,k
b,l
b,m
b,n
b,o
b,p
c,a
c,b
c,c
c,d
c,e
c,f
c,g
c,h
c,i
c,j
c,k
c,l
c,m
c,n
c,o
c,p
d,a
d,b
d,c
d,d
d,e
d,f
d,g
d,h
d,i
d,j
d,k
d,l
d,m
d,n
d,o
d,p
e,a
e,b
e,c
e,d
e,e
e,f
e,g
e,h
e,i
e,j
e,k
e,l
e,m
e,n
e,o
e,p
f,a
f,b
f,c
f,d
f,e
f,f
f,g
f,h
f,i
f,j
f,k
f,l
f,m
f,n
f,o
f,p
g,a
g,b
g,c
g,d
g,e
g,f
g,g
g,h
g,i
g,j
g,k
g,l
g,m
g,n
g,o
g,p
h,a
h,b
h,c
h,d
h,e
h,f
h,g
h,h
h,i
h,j
h,k
h,l
h,m
h,n
h,o
h,p
i,a
i,b
i,c
i,d
i,e
i,f
i,g
i,h
i,i
i,j
i,k
i,l
i,m
i,n
i,o
i,p
j,a
j,b
j,c
j,d
j,e
j,f
j,g
j,h
j,i
j,j
j,k
j,l
j,m
j,n
j,o
j,p
k,a
k,b
k,c
k,d
k,e
k,f
k,g
k,h
k,i
k,j
k,k
k,l
k,m
k,n
k,o
k,p
l,a
l,b
l,c
l,d
l,e
l,f
l,g
l,h
l,i
l,j
l,k
l,l
l,m
l,n
l,o
l,p
m,a
m,b
m,c
m,d
m,e
m,f
m,g
m,h
m,i
m,j
m,k
m,l
m,m
m,n
m,o
m,p
n,a
n,b
n,c
n,d
n,e
n,f
n,g
n,h
n,i
n,j
n,k
n,l
n,m
n,n
n,o
n,p
o,a
o,b
o,c
o,d
o,e
o,f
o,g
o,h
o,i
o,j
o,k
o,l
o,m
o,n
o,o
o,p
p,a
p,b
p,c
p,d
p,e
p,f
p,g
p,h
p,i
p,j
p,k
p,l
p,m
p,n
p,o
p,p
a,a
a,b
a,c
a,d
a,e
a,f
a,g
a,h
a,i
a,j
a,k
a,l
a,m
a,n
a,o
a,p
b,a
b,b
b,c
b,d
b,e
b,f
b,g
b,h
b,i
b,j
b,k
b,l
b,m
b,n
b,o
b,p
c,a
c,b
c,c
c,d
c,e
c,f
c,g
c,h
c,i
c,j
c,k
c,l
c,m
c,n
c,o
c,p
d,a
d,b
d,c
d,d
d,e
d,f
d,g
d,h
d,i
d,j
d,k
d,l
d,m
d,n
d,o
d,p
e,a
e,b
e,c
e,d
e,e
e,f
e,g
e,h
