gym,timestamp,attendeeCount,consumption
string,datetime,int,float
S,T,,
Melbourne Central,2010-09-06 00:00:00.0,0,19.04
Melbourne Central,2010-09-06 01:00:00.0,0,10.29
Melbourne Central,2010-09-06 02:00:00.0,0,10.27
Melbourne Central,2010-09-06 03:00:00.0,0,10.33
Melbourne Central,2010-09-06 04:00:00.0,0,10.4
Melbourne Central,2010-09-06 05:00:00.0,0,11.06
Melbourne Central,2010-09-06 06:00:00.0,77,68.4
Melbourne Central,2010-09-06 07:00:00.0,45,76.13
Melbourne Central,2010-09-06 08:00:00.0,46,68.18
Melbourne Central,2010-09-06 09:00:00.0,25,64.88
Melbourne Central,2010-09-06 10:00:00.0,26,66.91
Melbourne Central,2010-09-06 11:00:00.0,46,64.55
Melbourne Central,2010-09-06 12:00:00.0,136,69.38
Melbourne Central,2010-09-06 13:00:00.0,46,73.36
Melbourne Central,2010-09-06 14:00:00.0,35,68.17
Melbourne Central,2010-09-06 15:00:00.0,85,65.74
Melbourne Central,2010-09-06 16:00:00.0,111,68.54
Melbourne Central,2010-09-06 17:00:00.0,253,80.51
Melbourne Central,2010-09-06 18:00:00.0,230,81.05
Melbourne Central,2010-09-06 19:00:00.0,84,85.07
Melbourne Central,2010-09-06 20:00:00.0,10,75.09
Melbourne Central,2010-09-06 21:00:00.0,0,46.43
Melbourne Central,2010-09-06 22:00:00.0,0,45.85
Melbourne Central,2010-09-06 23:00:00.0,0,47.73
Melbourne Central,2010-09-13 00:00:00.0,0,31.74
Melbourne Central,2010-09-13 01:00:00.0,0,10.37
Melbourne Central,2010-09-13 02:00:00.0,0,10.42
Melbourne Central,2010-09-13 03:00:00.0,0,10.58
Melbourne Central,2010-09-13 04:00:00.0,0,10.64
Melbourne Central,2010-09-13 05:00:00.0,0,11.23
Melbourne Central,2010-09-13 06:00:00.0,79,66.54
Melbourne Central,2010-09-13 07:00:00.0,48,71.3
Melbourne Central,2010-09-13 08:00:00.0,34,66.05
Melbourne Central,2010-09-13 09:00:00.0,34,66.21
Melbourne Central,2010-09-13 10:00:00.0,23,65.9
Melbourne Central,2010-09-13 11:00:00.0,40,65.6
Melbourne Central,2010-09-13 12:00:00.0,133,70.62
Melbourne Central,2010-09-13 13:00:00.0,57,72.16
Melbourne Central,2010-09-13 14:00:00.0,46,66.73
Melbourne Central,2010-09-13 15:00:00.0,61,64.72
Melbourne Central,2010-09-13 16:00:00.0,118,68.14
Melbourne Central,2010-09-13 17:00:00.0,255,81.86
Melbourne Central,2010-09-13 18:00:00.0,245,82.79
Melbourne Central,2010-09-13 19:00:00.0,65,89.09
Melbourne Central,2010-09-13 20:00:00.0,13,73.24
Melbourne Central,2010-09-13 21:00:00.0,0,51.85
Melbourne Central,2010-09-13 22:00:00.0,0,47.49
Melbourne Central,2010-09-13 23:00:00.0,0,45.33
Melbourne Central,2010-09-20 00:00:00.0,0,18.46
Melbourne Central,2010-09-20 01:00:00.0,0,9.47
Melbourne Central,2010-09-20 02:00:00.0,0,9.36
Melbourne Central,2010-09-20 03:00:00.0,0,9.43
Melbourne Central,2010-09-20 04:00:00.0,0,10.57
Melbourne Central,2010-09-20 05:00:00.0,0,22.05
Melbourne Central,2010-09-20 06:00:00.0,61,50.3
Melbourne Central,2010-09-20 07:00:00.0,42,69.12
Melbourne Central,2010-09-20 08:00:00.0,24,61.22
Melbourne Central,2010-09-20 09:00:00.0,28,62.8
Melbourne Central,2010-09-20 10:00:00.0,23,60.18
Melbourne Central,2010-09-20 11:00:00.0,39,59.76
Melbourne Central,2010-09-20 12:00:00.0,131,67.57
Melbourne Central,2010-09-20 13:00:00.0,56,73.39
Melbourne Central,2010-09-20 14:00:00.0,45,70.2
Melbourne Central,2010-09-20 15:00:00.0,80,64.46
Melbourne Central,2010-09-20 16:00:00.0,112,67.26
Melbourne Central,2010-09-20 17:00:00.0,244,80.35
Melbourne Central,2010-09-20 18:00:00.0,199,82.54
Melbourne Central,2010-09-20 19:00:00.0,72,88.61
Melbourne Central,2010-09-20 20:00:00.0,9,72.3
Melbourne Central,2010-09-20 21:00:00.0,0,46.88
Melbourne Central,2010-09-20 22:00:00.0,0,46.08
Melbourne Central,2010-09-20 23:00:00.0,0,48.99
Melbourne Central,2010-09-27 00:00:00.0,0,17.74
Melbourne Central,2010-09-27 01:00:00.0,0,8.48
Melbourne Central,2010-09-27 02:00:00.0,0,8.46
Melbourne Central,2010-09-27 03:00:00.0,0,8.42
Melbourne Central,2010-09-27 04:00:00.0,0,8.66
Melbourne Central,2010-09-27 05:00:00.0,0,9.12
Melbourne Central,2010-09-27 06:00:00.0,68,61.86
Melbourne Central,2010-09-27 07:00:00.0,55,74.28
Melbourne Central,2010-09-27 08:00:00.0,24,69.88
Melbourne Central,2010-09-27 09:00:00.0,27,68.45
Melbourne Central,2010-09-27 10:00:00.0,45,69.56
Melbourne Central,2010-09-27 11:00:00.0,48,72.81
Melbourne Central,2010-09-27 12:00:00.0,119,70.9
Melbourne Central,2010-09-27 13:00:00.0,41,72.19
Melbourne Central,2010-09-27 14:00:00.0,45,67.0
Melbourne Central,2010-09-27 15:00:00.0,58,64.46
Melbourne Central,2010-09-27 16:00:00.0,113,69.28
Melbourne Central,2010-09-27 17:00:00.0,269,79.54
Melbourne Central,2010-09-27 18:00:00.0,254,82.01
Melbourne Central,2010-09-27 19:00:00.0,81,89.52
Melbourne Central,2010-09-27 20:00:00.0,7,73.08
Melbourne Central,2010-09-27 21:00:00.0,1,44.92
