gym,timestamp,attendeeCount,consumption
string,datetime,int,float
S,T,,
Melbourne Central,2010-09-04 00:00:00.0,0,47.83
Melbourne Central,2010-09-04 01:00:00.0,0,14.6
Melbourne Central,2010-09-04 02:00:00.0,0,7.92
Melbourne Central,2010-09-04 03:00:00.0,0,7.92
Melbourne Central,2010-09-04 04:00:00.0,0,8.1
Melbourne Central,2010-09-04 05:00:00.0,0,7.9
Melbourne Central,2010-09-04 06:00:00.0,0,7.89
Melbourne Central,2010-09-04 07:00:00.0,0,7.96
Melbourne Central,2010-09-04 08:00:00.0,0,8.17
Melbourne Central,2010-09-04 09:00:00.0,100,65.96
Melbourne Central,2010-09-04 10:00:00.0,55,76.44
Melbourne Central,2010-09-04 11:00:00.0,71,73.5
Melbourne Central,2010-09-04 12:00:00.0,82,71.92
Melbourne Central,2010-09-04 13:00:00.0,40,72.35
Melbourne Central,2010-09-04 14:00:00.0,72,68.41
Melbourne Central,2010-09-04 15:00:00.0,85,73.75
Melbourne Central,2010-09-04 16:00:00.0,57,71.23
Melbourne Central,2010-09-04 17:00:00.0,30,72.31
Melbourne Central,2010-09-04 18:00:00.0,0,29.88
Melbourne Central,2010-09-04 19:00:00.0,0,8.16
Melbourne Central,2010-09-04 20:00:00.0,0,37.0
Melbourne Central,2010-09-04 21:00:00.0,0,45.56
Melbourne Central,2010-09-04 22:00:00.0,0,45.75
Melbourne Central,2010-09-04 23:00:00.0,0,48.64
Melbourne Central,2010-09-11 00:00:00.0,0,48.05
Melbourne Central,2010-09-11 01:00:00.0,0,34.01
Melbourne Central,2010-09-11 02:00:00.0,0,7.82
Melbourne Central,2010-09-11 03:00:00.0,0,7.88
Melbourne Central,2010-09-11 04:00:00.0,0,7.92
Melbourne Central,2010-09-11 05:00:00.0,0,7.8
Melbourne Central,2010-09-11 06:00:00.0,0,7.84
Melbourne Central,2010-09-11 07:00:00.0,0,7.74
Melbourne Central,2010-09-11 08:00:00.0,0,8.17
Melbourne Central,2010-09-11 09:00:00.0,93,66.94
Melbourne Central,2010-09-11 10:00:00.0,80,75.62
Melbourne Central,2010-09-11 11:00:00.0,95,73.56
Melbourne Central,2010-09-11 12:00:00.0,73,79.17
Melbourne Central,2010-09-11 13:00:00.0,58,74.68
Melbourne Central,2010-09-11 14:00:00.0,76,71.11
Melbourne Central,2010-09-11 15:00:00.0,75,71.92
Melbourne Central,2010-09-11 16:00:00.0,75,70.85
Melbourne Central,2010-09-11 17:00:00.0,25,66.54
Melbourne Central,2010-09-11 18:00:00.0,0,49.49
Melbourne Central,2010-09-11 19:00:00.0,0,23.33
Melbourne Central,2010-09-11 20:00:00.0,0,9.79
Melbourne Central,2010-09-11 21:00:00.0,0,44.81
Melbourne Central,2010-09-11 22:00:00.0,0,45.07
Melbourne Central,2010-09-11 23:00:00.0,0,43.95
Melbourne Central,2010-09-18 00:00:00.0,0,48.62
Melbourne Central,2010-09-18 01:00:00.0,0,44.63
Melbourne Central,2010-09-18 02:00:00.0,0,12.99
Melbourne Central,2010-09-18 03:00:00.0,0,8.47
Melbourne Central,2010-09-18 04:00:00.0,0,8.54
Melbourne Central,2010-09-18 05:00:00.0,0,8.67
Melbourne Central,2010-09-18 06:00:00.0,0,8.15
Melbourne Central,2010-09-18 07:00:00.0,0,8.47
Melbourne Central,2010-09-18 08:00:00.0,0,8.55
Melbourne Central,2010-09-18 09:00:00.0,129,68.29
Melbourne Central,2010-09-18 10:00:00.0,59,75.58
Melbourne Central,2010-09-18 11:00:00.0,90,74.09
Melbourne Central,2010-09-18 12:00:00.0,77,77.41
Melbourne Central,2010-09-18 13:00:00.0,47,74.26
Melbourne Central,2010-09-18 14:00:00.0,86,74.66
Melbourne Central,2010-09-18 15:00:00.0,73,74.5
Melbourne Central,2010-09-18 16:00:00.0,68,73.57
Melbourne Central,2010-09-18 17:00:00.0,32,66.24
Melbourne Central,2010-09-18 18:00:00.0,0,35.51
Melbourne Central,2010-09-18 19:00:00.0,0,21.73
Melbourne Central,2010-09-18 20:00:00.0,0,44.88
Melbourne Central,2010-09-18 21:00:00.0,0,46.07
Melbourne Central,2010-09-18 22:00:00.0,0,45.7
Melbourne Central,2010-09-18 23:00:00.0,0,48.35
Melbourne Central,2010-09-25 00:00:00.0,0,48.35
Melbourne Central,2010-09-25 01:00:00.0,0,43.98
Melbourne Central,2010-09-25 02:00:00.0,0,9.07
Melbourne Central,2010-09-25 03:00:00.0,0,8.3
Melbourne Central,2010-09-25 04:00:00.0,0,8.34
Melbourne Central,2010-09-25 05:00:00.0,0,8.65
Melbourne Central,2010-09-25 06:00:00.0,0,8.38
Melbourne Central,2010-09-25 07:00:00.0,0,8.4
Melbourne Central,2010-09-25 08:00:00.0,0,8.61
Melbourne Central,2010-09-25 09:00:00.0,117,66.78
Melbourne Central,2010-09-25 10:00:00.0,75,78.46
Melbourne Central,2010-09-25 11:00:00.0,81,75.7
Melbourne Central,2010-09-25 12:00:00.0,60,75.31
Melbourne Central,2010-09-25 13:00:00.0,40,68.57
Melbourne Central,2010-09-25 14:00:00.0,41,69.74
Melbourne Central,2010-09-25 15:00:00.0,52,71.52
Melbourne Central,2010-09-25 16:00:00.0,41,73.71
Melbourne Central,2010-09-25 17:00:00.0,13,69.65
Melbourne Central,2010-09-25 18:00:00.0,0,42.68
Melbourne Central,2010-09-25 19:00:00.0,0,22.16
Melbourne Central,2010-09-25 20:00:00.0,0,46.17
Melbourne Central,2010-09-25 21:00:00.0,0,46.81
